abbreviatedAddress,city,zipcode,latitude,longitude,bathrooms,bedrooms,lotSize,daysOnZillow,Date_sold,price,zestimate,rentZestimate,propertyTaxRate,taxAssessedValue,taxAssessedYear
10370 SW Greenleaf Ter,Tigard,97224,45.40658569,-122.7840958,2,2,3920,5,7/13/2021,472500,479600,1999,1.13,313420,2019
14010 SW Karley Ct,Tigard,97223,45.42588425,-122.8209686,4,4,9147,5,7/13/2021,834900,860300,3773,1.13,683610,2019
7913 N Chase Ave,Portland,97217,45.58086777,-122.7047501,1,4,4356,12,7/13/2021,512500,514600,2428,1.12,372070,2020
10550 SW Century Oak Dr,Tigard,97224,45.40439987,-122.7862473,1,2,4356,5,7/13/2021,364000,364400,1619,1.13,318610,2019
445 N Hayden Bay Dr #71,Portland,97217,45.61043167,-122.6735001,1,2,336718,14,7/13/2021,214000,261800,1892,1.12,219780,2020
6656 SW Peyton Rd,Portland,97223,45.47403717,-122.7455978,2,4,13068,5,7/13/2021,820000,858700,3733,1.13,602060,2019
4036 SE Harrison St,Milwaukie,97222,45.44641113,-122.6213608,2,3,7405,12,7/13/2021,550000,553200,2594,1.08,405449,2020
17643 NW Deerbrook Ct,Portland,97229,45.55718613,-122.8583527,3,3,11761,9,7/13/2021,716000,717400,2993,1.13,545590,2019
11845 SW Wilton Ave,Tigard,97223,45.43429184,-122.8189926,3,3,5662,5,7/13/2021,625000,605200,2594,1.13,428500,2019
7661 SE Michael Dr,Milwaukie,97222,45.43976212,-122.5854721,2,3,7840,12,7/13/2021,485000,487800,2694,1.08,354065,2020
12001 SW Treeview Ct,Tigard,97224,45.41799545,-122.8011932,4,4,6098,5,7/13/2021,642500,643100,2910,1.13,549990,2019
7066 N Williams Ave,Portland,97217,45.57429504,-122.6664963,1,4,4791,12,7/13/2021,490000,636000,2965,1.12,481460,2020
6821 SE 76th Ave,Portland,97206,45.47317123,-122.5857925,2,3,9583,12,7/13/2021,525000,525800,2181,1.12,430030,2020
1636 SE Knapp St,Portland,97202,45.47142029,-122.6489029,3,2,871,12,7/13/2021,490000,490700,2250,1.12,415610,2020
5605 SE 65th Ave UNIT A,Portland,97206,45.48239136,-122.5973587,1,2,5000,12,7/13/2021,478000,501600,2174,1.12,438690,2020
13580 NW Trevino St,Portland,97229,45.54934311,-122.8167267,3,5,5662,9,7/13/2021,850000,850800,3640,1.13,695880,2019
13434 SW Ascension Dr,Tigard,97223,45.42250443,-122.8221436,3,4,15245,5,7/13/2021,879000,879800,3460,1.13,617400,2019
3221 SE 75th Ave,Portland,97206,45.49895477,-122.5862198,2,2,6534,12,7/13/2021,560000,560800,2084,1.12,416360,2020
3623 SE Nehalem St,Portland,97202,45.46590424,-122.6256561,3,3,4791,9,7/13/2021,730000,731100,2348,1.12,628520,2020
16454 SW 132nd Ter,Tigard,97224,45.40056992,-122.8124619,3,3,3920,5,7/13/2021,630000,632200,2862,1.13,500190,2019
4724 SW Vacuna St,Portland,97219,45.44159317,-122.7256927,2,3,4356,13,7/12/2021,480000,482200,2765,1.12,419680,2020
4516 NE 9th Ave,Portland,97211,45.55575943,-122.6563263,1,2,4791,13,7/12/2021,625000,626100,2295,1.12,501130,2020
16360 NW Rossetta St,Portland,97229,45.56761551,-122.845993,3,3,2613,13,7/12/2021,570000,618900,2395,1.13,484490,2019
6836 NE Grand Ave,Portland,97211,45.57237244,-122.6600494,2,3,4791,13,7/12/2021,550000,551400,2327,1.12,421950,2020
13555 NW Thompson Rd,Portland,97229,45.54660797,-122.8164444,2,3,14810,13,7/12/2021,560000,684000,2495,1.13,554720,2019
6332 SW Ash Creek Dr,Portland,97219,45.46377182,-122.7420044,2,4,7007,14,7/12/2021,600000,699600,3295,1.12,548430,2020
4407 SE 75th Ave,Portland,97206,45.4908905,-122.5860672,1,3,6098,14,7/12/2021,485000,486400,1975,1.12,342420,2020
3316 SE 55th Ave,Portland,97206,45.49856186,-122.6057053,2,3,5227,14,7/12/2021,550000,551900,2600,1.12,439290,2020
6926 N Atlantic Ave,Portland,97217,45.57299423,-122.6962204,1,2,4791,13,7/12/2021,575000,576000,1945,1.12,424010,2020
5926 SE Lexington St,Portland,97206,45.46632767,-122.6026077,1,3,4791,16,7/12/2021,340000,341700,2256,1.12,317220,2020
5403 SE 62nd Ave,Portland,97206,45.48371887,-122.5998383,3,4,3049,13,7/12/2021,525000,526000,2813,1.12,464610,2020
5315 SE Lafayette St,Portland,97206,45.49703217,-122.6077652,2,3,4356,13,7/12/2021,522000,523000,2781,1.12,412130,2020
3903 SE Franklin Ct,Portland,97202,45.49874496,-122.622406,3,3,2178,13,7/12/2021,520000,531900,2645,1.12,466190,2020
7821 SE Lambert St,Portland,97206,45.46729279,-122.5827789,3,5,16988,13,7/12/2021,599900,601000,2251,1.12,407970,2020
5833 SE 41st Ave,Portland,97202,45.4801178,-122.6209335,2,2,7840,13,7/12/2021,575000,576000,2194,1.12,497420,2020
4914 NW Huserik Dr,Portland,97229,45.55512619,-122.8295288,2,3,3920,14,7/12/2021,480000,559500,2449,1.13,431740,2019
4125 N Colonial Ave,Portland,97217,45.55383682,-122.6843948,3,5,4791,10,7/12/2021,885000,886600,3763,1.12,799700,2020
11030 SW Cottonwood Ln,Tigard,97223,45.44101715,-122.7941818,2,3,7840,6,7/12/2021,607000,590700,2594,1.13,388390,2019
11340 SW Walnut St,Tigard,97223,45.43023682,-122.7935028,2,4,14374,6,7/12/2021,530000,570300,2362,1.13,462170,2019
14769 SW 149th Ter,Tigard,97224,45.41305542,-122.8309555,4,4,4791,6,7/12/2021,690000,691000,3673,1.13,633930,2019
14300 SW Tewkesbury Ct,Tigard,97224,45.40779877,-122.8242111,3,5,4791,6,7/12/2021,730000,731100,3380,1.13,513740,2019
12938 SW Princeton Ln,Tigard,97223,45.42417526,-122.8100967,3,3,2178,7,7/12/2021,419000,451800,2000,1.13,319640,2019
11221 SE Stanley Ave,Portland,97222,45.44176483,-122.6037064,1,3,7405,14,7/12/2021,395000,397700,1821,1.08,280289,2020
12626 SW 116th Ave,Tigard,97223,45.42840576,-122.7961502,3,4,6098,7,7/12/2021,705000,705700,2550,1.13,460030,2019
11026 SE 29th Ave,Portland,97222,45.44392776,-122.6328049,1,2,4791,13,7/12/2021,465000,467900,1821,1.08,327147,2020
10708 SE 59th Ave,Milwaukie,97222,45.4454155,-122.6011734,2,3,16117,14,7/12/2021,435000,436900,2562,1.08,331773,2020
7905 SE 29th Ave,Portland,97202,45.46769333,-122.6337357,4,5,6534,11,7/12/2021,1700000,1701300,6710,1.12,1252030,2020
3263 SE Silver Springs Rd,Milwaukie,97222,45.42805862,-122.6298676,1,3,7840,13,7/12/2021,435000,437800,1994,1.08,312815,2020
3130 NW Chapin Dr,Portland,97229,45.54585648,-122.7664948,4,4,12632,11,7/12/2021,945000,947800,3942,1.12,916560,2020
8821 SE 29th Ave,Milwaukie,97222,45.45891953,-122.6330719,2,3,4356,13,7/12/2021,455000,457900,2070,1.08,243272,2020
12092 NW Blackhawk Dr,Portland,97229,45.54175568,-122.8011703,4,4,10454,11,7/12/2021,1315000,1318800,5242,1.13,1013170,2019
6720 NE 13th Ave,Portland,97211,45.57144928,-122.6514816,3,4,3920,11,7/12/2021,875000,876300,2295,1.12,690010,2020
5225 NE Cleveland Ave,Portland,97211,45.56093597,-122.6661758,3,4,4791,10,7/12/2021,775000,776400,3056,1.12,761310,2020
16772 NW Viola St,Portland,97229,45.57321167,-122.8497696,3,4,3049,11,7/12/2021,670000,670600,2681,1.13,493670,2019
925 SW Coronado St,Portland,97219,45.44326019,-122.6882477,3,5,30927,11,7/12/2021,935000,936400,3973,1.12,709390,2020
1510 S Radcliffe Ct,Portland,97219,45.45159149,-122.663826,8,5,68824,11,7/12/2021,2471000,2501300,10170,1.12,2169120,2020
3116 SE 77th Ave,Portland,97206,45.49973679,-122.58358,2,4,6098,11,7/12/2021,665000,665500,1999,1.12,409640,2020
10605 NW Saltzman Rd,Portland,97229,45.56039429,-122.7870483,4,4,43124,10,7/12/2021,1595000,1595900,6515,1.12,1023800,2020
1551 N Skidmore St,Portland,97217,45.55488586,-122.6831818,2,3,4791,10,7/12/2021,760000,773500,2951,1.12,593920,2020
6439 NE 35th Pl,Portland,97211,45.56964874,-122.6279144,2,3,10018,17,7/9/2021,650000,652100,2453,1.12,691280,2020
16247 SW Oneill Ct,Tigard,97223,45.42661667,-122.8439178,3,4,9147,10,7/9/2021,615000,615900,2849,1.13,485330,2019
7807 SW Hunt Club Pl,Portland,97219,45.4684906,-122.7421341,3,4,11761,14,7/9/2021,921000,922700,3777,1.12,726850,2020
4705 NE 21st Ave,Portland,97211,45.55699921,-122.644165,2,4,4791,14,7/9/2021,750000,753000,3099,1.12,616980,2020
10675 SE 21st Ave,Portland,97222,45.44580078,-122.6408234,2,2,871,17,7/9/2021,430000,418700,2499,1.08,465785,2020
6461 SE Laura Ave,Portland,97222,45.45207977,-122.596344,1,2,4791,17,7/9/2021,340000,371100,1395,1.08,244218,2020
12814 SE 31st Ave,Milwaukie,97222,45.42980957,-122.6310196,3,3,4791,17,7/9/2021,420000,423600,2594,1.08,369146,2020
11250 NW Rainmont Rd,Portland,97229,45.53601837,-122.7922058,2,3,19602,17,7/9/2021,635000,638000,2495,1.13,485410,2019
6855 N Atlantic Ave,Portland,97217,45.57258606,-122.6968536,1,2,4791,17,7/9/2021,550000,551800,1950,1.12,417560,2020
2606 SE 16th Ave,Portland,97202,45.50404358,-122.6493683,2,3,4791,17,7/9/2021,650000,654000,2746,1.12,631070,2020
4906 SW Coronado St,Portland,97219,45.44230652,-122.7273102,2,3,4791,17,7/9/2021,485000,487000,1784,1.12,399520,2020
12396 NW Millford St,Portland,97229,45.54918671,-122.8042984,3,4,4356,14,7/9/2021,775000,778600,3255,1.12,651080,2019
2451 N Alberta St,Portland,97217,45.5593338,-122.6922607,3,4,4356,14,7/9/2021,902000,903700,3990,1.12,881260,2020
4135 SE 30th Ave,Portland,97202,45.49276733,-122.6349487,3,5,4791,14,7/9/2021,1135000,1137100,4896,1.12,909060,2020
12804 NW Ethan Dr,Portland,97229,45.5594902,-122.8085632,4,6,5227,14,7/9/2021,850000,854000,3754,1.13,688620,2019
5951 SE 19th Ave,Portland,97202,45.4792099,-122.6466904,3,4,5662,14,7/9/2021,875000,875900,2995,1.12,694890,2020
7735 SE 19th Ave,Portland,97202,45.46875,-122.6454391,4,4,5662,14,7/9/2021,793000,795000,3095,1.12,680310,2020
10424 S Terwilliger Pl,Portland,97219,45.44981766,-122.6756973,3,4,20037,14,7/9/2021,1250000,1255000,4858,1.12,663270,2020
8010 SE Henderson St,Portland,97206,45.46978378,-122.5813293,5,7,9147,14,7/9/2021,760000,761400,2529,1.12,815280,2020
2911 SW Plum Ct,Portland,97219,45.45578003,-122.7064514,3,4,6969,17,7/9/2021,610000,612500,2756,1.12,531360,2020
1410 SW Kari Ln,Portland,97219,45.44742584,-122.6936951,3,5,22215,14,7/9/2021,850000,853400,2762,1.12,729510,2020
2932 SW Multnomah Blvd,Portland,97219,45.46572113,-122.7074203,2,3,6969,17,7/9/2021,495975,553100,2423,1.12,429970,2020
1370 NW 88th Ave,Portland,97229,45.52941513,-122.7676773,3,3,5227,17,7/9/2021,630000,634800,2723,1.13,545240,2019
9040 SW 49th Ave,Portland,97219,45.45974731,-122.7266998,3,4,9583,14,7/9/2021,738500,741500,2949,1.12,578860,2020
3242 SW Arrowood Dr,Portland,97219,45.43590546,-122.710556,3,4,20473,14,7/9/2021,686500,689300,2910,1.12,641340,2020
7625 NW Skyline Blvd,Portland,97229,45.57725143,-122.7950058,2,3,19602,17,7/9/2021,585000,587400,2399,1.12,428500,2020
16397 NW Rossetta St,Portland,97229,45.56811905,-122.8460083,3,3,4356,17,7/9/2021,575000,579400,2495,1.13,414950,2019
4687 NW 126th Pl,Portland,97229,45.55350494,-122.8068695,3,3,3920,17,7/9/2021,645000,649900,2695,1.13,534950,2019
3449 SW Alice St,Portland,97219,45.45862198,-122.7127151,3,4,5227,17,7/9/2021,639000,642900,3134,1.12,551400,2020
4445 SE Lexington St,Portland,97206,45.46653748,-122.6162262,2,3,6098,17,7/9/2021,548600,550800,2292,1.12,496580,2020
6208 SE 72nd Ave,Portland,97206,45.47796631,-122.5890579,2,4,5662,17,7/9/2021,509000,512100,1918,1.12,349340,2020
11295 SW Willow Wood Ct,Tigard,97223,45.44201279,-122.7940063,3,4,9583,10,7/9/2021,585000,586400,2864,1.13,426860,2019
12200 SW King Richard Dr,King City,97224,45.3981781,-122.8025894,1,2,4356,10,7/9/2021,375000,375200,1516,1.13,273590,2019
4516 SE 66th Ave,Portland,97206,45.48997116,-122.5946426,3,4,3920,17,7/9/2021,559900,563300,2849,1.12,516990,2020
11925 SW King James Pl,King City,97224,45.40184402,-122.7995987,1,2,5662,10,7/9/2021,395000,395600,1945,1.13,294650,2019
3016 SE Boyd St,Portland,97222,45.45733643,-122.6316223,1,2,6969,17,7/9/2021,270000,272300,1743,1.08,264571,2020
9533 SE Wichita Ave,Portland,97222,45.45373154,-122.6012268,1,2,9147,17,7/9/2021,420000,442400,1773,1.08,307454,2020
7071 SW Barbara Ln,Tigard,97223,45.45049667,-122.7497025,3,5,10454,10,7/9/2021,800000,800400,3584,1.13,520040,2019
13775 SW Ash Ave,Tigard,97223,45.42053986,-122.7806396,2,4,7840,10,7/9/2021,577000,577800,2627,1.13,380410,2019
11195 SW Tigard St,Tigard,97223,45.43699265,-122.7919617,2,3,71874,10,7/9/2021,790000,791900,2595,1.13,936860,2019
5207 SE 64th Ave,Portland,97206,45.48517227,-122.5978699,1,3,5227,19,7/9/2021,365000,385600,1995,1.12,363700,2020
14400 SW 92nd Ave,Tigard,97224,45.41563416,-122.7704773,1,3,7840,10,7/9/2021,558490,559300,2195,1.13,394030,2019
7036 N Delaware Ave,Portland,97217,45.57408905,-122.6921539,1,2,5000,19,7/9/2021,357600,513300,2229,1.12,435030,2020
13853 SW Aerie Dr,Tigard,97223,45.42002106,-122.8065109,3,4,12632,10,7/9/2021,806000,807900,3533,1.13,511670,2019
5116 SE 66th Ave,Portland,97206,45.48583984,-122.5952911,1,2,4791,19,7/9/2021,325000,327000,2195,1.12,399940,2020
15242 SW Peachtree Dr,Tigard,97224,45.40956116,-122.8160553,3,4,11761,10,7/9/2021,769000,770100,3663,1.13,631360,2019
12931 SW Kostel Ln,Tigard,97224,45.40924454,-122.8099823,4,5,6969,10,7/9/2021,845000,846200,4185,1.13,606240,2019
16430 SW 93rd Ave,Tigard,97224,45.40111542,-122.7734756,2,3,7840,10,7/9/2021,465000,465700,2100,1.13,366390,2019
14865 SW 98th Ave,Tigard,97224,45.41249466,-122.7781067,3,5,30927,10,7/9/2021,761000,762100,2627,1.13,527850,2019
4696 SE Brookside Dr,Portland,97222,45.45855713,-122.615654,1,3,8712,18,7/7/2021,390000,393600,2351,1.08,250238,2020
