abbreviatedAddress,city,zipcode,latitude,longitude,bathrooms,bedrooms,lotSize,daysOnZillow,Date_sold,price,zestimate,rentZestimate,propertyTaxRate,taxAssessedValue,taxAssessedYear
11124 SE 100th Ave,Happy Valley,97086,45.44235992,-122.5605011,3,4,4356,10,2021-07-15,646000,649000.0,3300.0,1.08,509243.0,2020
13048 SE Verlie St,Happy Valley,97086,45.42827225,-122.50853729999999,3,4,5227,10,2021-07-15,695000,698200.0,3444.0,1.08,624660.0,2020
7535 SE 20th Ave,Portland,97202,45.4704895,-122.64453130000001,2,3,2613,8,2021-07-15,715000,716300.0,2633.0,1.12,543870.0,2020
9576 NW Marvin Ln,Portland,97229,45.53176117,-122.77568049999999,3,4,6969,8,2021-07-15,845000,846200.0,3716.0,1.13,643220.0,2019
6127 NE 27th Ave,Portland,97211,45.56740952,-122.6384506,3,3,3049,8,2021-07-15,749500,750900.0,3068.0,1.12,629630.0,2020
2140 SE Aster Ct,Hillsboro,97123,45.4996376,-122.9607773,2,3,8276,5,2021-07-15,485000,501600.0,1997.0,1.13,369490.0,2019
15226 NW Eugene Ln,Portland,97229,45.54879379,-122.8337631,3,4,8276,8,2021-07-15,930000,931300.0,4043.0,1.13,721740.0,2019
9715 NW Bartholomew Dr,Portland,97229,45.53897858,-122.77655790000001,3,3,11325,8,2021-07-15,727345,728100.0,2984.0,1.12,603300.0,2020
330 NW Torrey View Dr,Portland,97229,45.52212524,-122.7682037,3,4,10454,8,2021-07-15,710000,712500.0,2434.0,1.13,537320.0,2019
4142 SE 52nd Ave,Portland,97206,45.49261856,-122.60868070000001,2,3,12196,7,2021-07-15,847000,848200.0,2600.0,1.12,561210.0,2020
140 NW 89th Ave,Portland,97229,45.52059555,-122.7683182,3,4,10018,7,2021-07-15,754600,755300.0,2495.0,1.13,473690.0,2019
2853 SE 49th Ave,Portland,97206,45.50170135,-122.61235049999999,3,5,4791,7,2021-07-15,777700,819800.0,3196.0,1.12,561020.0,2020
11201 S Riverwood Rd,Portland,97219,45.44457626,-122.65633390000002,2,3,22215,7,2021-07-15,797000,798200.0,2833.0,1.12,825550.0,2020
5104 SE Long St,Portland,97206,45.48810959,-122.6095581,2,3,21780,8,2021-07-15,980000,1046900.0,4411.0,1.12,944580.0,2020
7316 SE 31st Ave,Portland,97202,45.47154236,-122.6311035,4,4,10018,8,2021-07-15,1150000,1151300.0,4817.0,1.12,1043850.0,2020
11526 SW Vacuna Ct,Portland,97219,45.44166565,-122.7010727,3,4,6534,7,2021-07-15,700000,700500.0,3133.0,1.12,580920.0,2020
14221 SE Lyon Crest St,Happy Valley,97086,45.43100739,-122.5166473,3,6,8712,11,2021-07-15,605000,606600.0,3494.0,1.08,562761.0,2020
16045 SE Palermo Ave,Happy Valley,97086,45.43231583,-122.4984818,3,3,7405,11,2021-07-15,700000,701900.0,3399.0,1.08,689606.0,2020
10722 SE Jason Ln,Happy Valley,97086,45.44547272,-122.532402,5,4,23522,11,2021-07-15,1798000,1807300.0,7341.0,1.08,1488766.0,2020
781 Linn Ave,Oregon City,97045,45.34448624,-122.6045837,2,3,9147,10,2021-07-15,480000,481000.0,2452.0,1.08,399855.0,2020
20007 Torrey Pines Ct,Oregon City,97045,45.31621552,-122.55957790000001,2,3,9583,10,2021-07-15,603000,604300.0,2452.0,1.08,379376.0,2020
21061 S Mossy Rock Ct,Oregon City,97045,45.30161667,-122.56038670000001,2,3,8712,11,2021-07-15,526000,528700.0,2465.0,1.08,324429.0,2020
18085 S Longhorn Ln,Oregon City,97045,45.34371948,-122.5107117,3,4,80586,11,2021-07-15,1198000,1204200.0,4721.0,1.08,761275.0,2020
19450 Provisioner Ct,Oregon City,97045,45.3234787,-122.5999908,3,4,5662,11,2021-07-15,580000,583000.0,2600.0,1.08,451681.0,2020
12012 SE 35th Ave,Milwaukie,97222,45.43638611,-122.6269226,2,3,8712,10,2021-07-15,495000,496100.0,2594.0,1.08,363682.0,2020
1330 NE Queens Ln,Hillsboro,97124,45.530056,-122.9690399,3,3,9583,5,2021-07-15,565000,565500.0,1999.0,1.13,343390.0,2019
3026 SE Washington St,Portland,97222,45.44340134,-122.63131709999999,3,3,7405,10,2021-07-15,450000,451000.0,3010.0,1.08,376602.0,2020
11729 SE Mountain Ridge Ave,Happy Valley,97086,45.43748474,-122.52624509999998,4,5,9583,10,2021-07-15,960000,930700.0,3495.0,1.08,769547.0,2020
7148 SE Ariel St,Hillsboro,97123,45.51399231,-122.90743259999999,3,4,5227,5,2021-07-15,540000,541400.0,2350.0,1.13,377130.0,2019
15754 NW Trakehner Way,Portland,97229,45.55782318,-122.83909609999999,3,5,6098,8,2021-07-15,670000,671400.0,2914.0,1.13,574710.0,2019
9085 SE Chloe Ln,Happy Valley,97086,45.45261383,-122.56987759999998,3,3,2613,10,2021-07-15,372000,373700.0,1884.0,1.08,316441.0,2020
4425 NE Cleveland Ave,Portland,97211,45.55543518,-122.665947,2,3,2613,8,2021-07-15,735000,735800.0,2635.0,1.12,533220.0,2020
5711 NW Primino Ave,Portland,97229,45.56080246,-122.81140900000001,4,4,4791,8,2021-07-15,790000,791100.0,3608.0,1.13,741120.0,2019
603 NE Webster St,Portland,97211,45.56020737,-122.6593018,4,4,3049,7,2021-07-15,750000,750500.0,3000.0,1.12,679780.0,2020
2421 SE Dove St,Portland,97222,45.43271637,-122.6386337,2,3,4791,11,2021-07-15,430000,432200.0,2527.0,1.08,316107.0,2020
6816 NE Willowgrove St,Hillsboro,97124,45.52157974,-122.90922549999999,2,4,4791,6,2021-07-15,580000,580300.0,3139.0,1.13,558920.0,2019
1934 SE 75th Ct,Hillsboro,97123,45.50597763,-122.9045334,3,3,6098,6,2021-07-15,559000,559800.0,2300.0,1.13,394300.0,2019
13491 NW Alvada St,Portland,97229,45.55652237,-122.81554409999998,3,4,6098,7,2021-07-15,784000,785300.0,3494.0,1.13,673830.0,2019
1834 SE Exeter Dr,Portland,97202,45.45686722,-122.6514206,2,4,21250,7,2021-07-15,1625000,1628500.0,5366.0,1.08,927067.0,2020
5804 NE 22nd Ave,Portland,97211,45.5645752,-122.6431732,2,4,4791,7,2021-07-15,716000,717000.0,2995.0,1.12,549520.0,2020
9832 NW Thompson Rd,Portland,97229,45.54851532,-122.7775192,4,4,13939,7,2021-07-15,1050000,1050800.0,4889.0,1.12,898530.0,2020
1895 NW 9th Ave,Hillsboro,97124,45.5389595,-122.99806979999998,3,3,6098,5,2021-07-15,510000,502500.0,2496.0,1.13,399670.0,2019
1057 SE Bianca St,Hillsboro,97123,45.50877762,-122.97450259999998,3,3,2178,6,2021-07-15,485000,517200.0,2000.0,1.13,350160.0,2019
8315 SE 9th Ave,Portland,97202,45.46261215,-122.65728759999999,2,3,4791,7,2021-07-15,865000,866300.0,2795.0,1.12,574330.0,2020
6133 SW Orchid Dr,Portland,97219,45.46062088,-122.74127959999998,3,4,20908,7,2021-07-15,1150000,1150800.0,5110.0,1.12,1005110.0,2020
2563 NW 108th Ter,Portland,97229,45.53811264,-122.7885284,3,5,6098,7,2021-07-15,867000,868500.0,3611.0,1.13,665780.0,2019
7439 SW 64th Pl,Portland,97219,45.47065353,-122.74227909999999,3,3,5227,7,2021-07-15,705000,666100.0,3522.0,1.12,573930.0,2020
12838 NW Oconnor Dr,Portland,97229,45.56081009,-122.8089752,4,5,4791,7,2021-07-15,860000,838600.0,2500.0,1.13,725820.0,2019
6317 SW Bently Ct,Portland,97219,45.46334839,-122.741188,3,4,8712,9,2021-07-13,658000,659000.0,3342.0,1.12,490950.0,2020
134 Donald St,Oregon City,97045,45.33887482,-122.6086884,2,4,15681,12,2021-07-13,525000,528000.0,2749.0,1.08,408556.0,2020
13125 Autumn Ln,Oregon City,97045,45.32569885,-122.59738159999999,2,3,10454,12,2021-07-13,477239,480000.0,2452.0,1.08,379968.0,2020
10370 SW Greenleaf Ter,Tigard,97224,45.40658569,-122.78409579999999,2,2,3920,5,2021-07-13,472500,479600.0,1999.0,1.13,313420.0,2019
