abbreviatedaddress,city,zipcode,latitude,longitude,bathrooms,bedrooms,lotsize,date_sold,price,zestimate,median_income
2519 NW Marsden Pl,Portland,97229,45.5407486,-122.777832,3,3,6098,2/24/2021,810000,856900,70082
13596 NW Stonebridge Dr,Portland,97229,45.54810333,-122.816925,3,4,4791,11/24/2020,650000,738300,70082
2232 NW Wheatfield Way,Portland,97229,45.53582764,-122.8222122,4,4,12632,7/21/2020,1040000,1210200,70082
12804 NW Ethan Dr,Portland,97229,45.5594902,-122.8085632,4,6,5227,7/9/2021,850000,854000,70082
12667 NW Milazzo Ln,Portland,97229,45.55152512,-122.8073654,3,3,3920,7/8/2020,582000,682100,70082
735 NW Torrey View Ln,Portland,97229,45.5253067,-122.7693329,3,5,13068,7/5/2020,655000,765400,70082
16265 NW Liberty St,Portland,97229,45.57406998,-122.8447495,3,4,3484,6/14/2021,625000,638300,70082
1325 NW 114th Ave,Portland,97229,45.52891922,-122.7950897,3,4,6969,5/13/2021,760000,785500,70082
10826 NW Claire Ct,Portland,97229,45.53742218,-122.7882156,4,5,5662,9/21/2020,901000,1043400,70082
1853 NW Millcrest Pl,Portland,97229,45.53281784,-122.782608,4,4,5227,7/21/2020,665000,773800,70082
12396 NW Millford St,Portland,97229,45.54918671,-122.8042984,3,4,4356,7/9/2021,775000,778600,70082
17259 NW Trillium St,Portland,97229,45.57565308,-122.855072,3,3,1306,10/10/2020,349995,405000,70082
11000 NW Copeland St,Portland,97229,45.52357864,-122.790184,5,4,19602,9/21/2020,925000,1069100,70082
8311 NW Reed Dr,Portland,97229,45.5398941,-122.7625275,3,3,14810,3/23/2021,790000,827100,70082
15995 NW Rondos Dr,Portland,97229,45.56045532,-122.8419571,2,3,6098,9/21/2020,59400,547800,70082
4147 NW Twilight Ter,Portland,97229,45.55087662,-122.7840805,3,4,6969,7/13/2020,850000,957698,70082
15815 NW Linder St,Portland,97229,45.56870651,-122.8390198,3,5,5662,4/6/2021,715000,751900,70082
17112 NW Stoller Dr,Portland,97229,45.5543251,-122.8539352,3,4,6969,5/13/2021,660000,682100,70082
9329 NW Murdock St,Portland,97229,45.54613876,-122.7723923,3,3,10890,5/13/2021,1025000,1050300,70082
14507 NW Werner Ln,Portland,97229,45.55565643,-122.8264465,2,3,8276,9/21/2020,520000,605800,70082
14894 NW Wendy Ln,Portland,97229,45.5594635,-122.8300095,4,5,7840,9/21/2020,839500,970300,70082
13396 NW Hartford St,Portland,97229,45.54475021,-122.8147278,3,4,6534,9/21/2020,645000,751100,70082
12316 NW Hiller Ln,Portland,97229,45.55039597,-122.8034515,4,4,4326,11/24/2020,752995,850400,70082
16154 NW Birdie Ln,Portland,97229,45.55334854,-122.8432922,2,3,10890,11/24/2020,690000,779300,70082
7053 NW Snowdrop Ter,Portland,97229,45.57062149,-122.8307953,3,4,3049,9/21/2020,500000,582200,70082
10315 NW Engleman St,Portland,97229,45.53404617,-122.7811661,3,3,7405,11/24/2020,735000,409900,70082
4886 NW 166th Ave,Portland,97229,45.55484772,-122.8471375,3,4,5227,11/24/2020,555000,630400,70082
5350 NW Rubicon Ln,Portland,97229,45.5605545,-122.7876587,9,6,47480,3/23/2021,3900000,4083100,70082
15153 NW Moresby Ct,Portland,97229,45.55908966,-122.8326416,3,4,6969,9/21/2020,552000,642800,70082
11250 NW Rainmont Rd,Portland,97229,45.53601837,-122.7922058,2,3,19602,7/9/2021,635000,638000,70082
5456 NW 133rd Ave,Portland,97229,45.55871964,-122.8136292,3,6,6098,6/11/2021,993000,1011500,70082
5306 NW Skycrest Pkwy,Portland,97229,45.55794144,-122.825058,3,5,5662,5/13/2021,762000,787500,70082
2495 NW 121st Pl,Portland,97229,45.53783798,-122.8021622,3,5,14374,11/24/2020,675000,762000,70082
1225 NW 93rd Ave,Portland,97229,45.52852249,-122.7728424,2,3,16552,7/16/2020,532500,622800,70082
11346 NW Melody Ln,Portland,97229,45.53507233,-122.7935562,3,4,6098,9/23/2020,640000,745000,70082
5359 NW 134th Ave,Portland,97229,45.55807495,-122.8150558,3,5,5662,9/23/2020,812000,937900,70082
12292 NW Hiller Ln,Portland,97229,45.55039597,-122.8032913,4,4,4326,9/23/2020,807195,934400,70082
6108 NW Sickle Ter,Portland,97229,45.56404877,-122.8448486,3,3,5227,4/6/2021,557000,590600,70082
13285 NW Greenwood Dr,Portland,97229,45.5607872,-122.8139114,4,4,6098,6/11/2021,890000,906600,70082
330 NW Torrey View Dr,Portland,97229,45.52212524,-122.7682037,3,4,10454,7/15/2021,710000,712500,70082
3916 NW Fall Creek Pl,Portland,97229,45.54763794,-122.8316193,3,3,5662,6/11/2021,850000,865900,70082
12602 NW Waker Dr,Portland,97229,45.53683472,-122.8060913,4,4,9147,11/24/2020,925000,1044700,70082
377 NW 81st Pl,Portland,97229,45.52627182,-122.7602081,3,4,52707,11/4/2020,1175000,1292200,70082
13940 NW Burton St,Portland,97229,45.53642654,-122.8204193,3,4,74923,9/23/2020,2500000,2887500,70082
5758 NW Crady Ln,Portland,97229,45.56087112,-122.8250885,3,5,5227,7/19/2020,625000,730300,70082
4141 NW Ashbrook Dr,Portland,97229,45.54955673,-122.8052902,3,4,3920,7/19/2020,680000,792500,70082
10149 NW Brady Ln,Portland,97229,45.5284462,-122.7814407,3,5,7840,10/29/2020,700000,799500,70082
8014 NW Hawkins Blvd,Portland,97229,45.53334427,-122.7593307,3,4,10890,2/26/2021,930000,983500,70082
1630 NW Barnsley Ct,Portland,97229,45.53497696,-122.76651,3,3,8276,2/26/2021,675000,713800,70082
8210 NW Ridgetop Ct,Portland,97229,45.54365158,-122.7611465,3,4,17077,2/26/2021,920000,972900,70082
13382 NW Hartford St,Portland,97229,45.54475784,-122.8145294,3,5,6534,9/23/2020,697900,806100,70082
9591 NW Ember Ln,Portland,97229,45.52748871,-122.7757492,3,4,3484,10/19/2020,515000,593700,70082
2542 NW 108th Ter,Portland,97229,45.53783417,-122.7879257,4,4,6098,7/19/2020,775000,903300,70082
1520 NW 136th Ave,Portland,97229,45.53057861,-122.8160324,2,3,7405,11/23/2020,510214,579800,70082
1678 NW 129th Pl,Portland,97229,45.5320282,-122.8094711,3,4,10018,11/23/2020,720000,813500,70082
3308 NW 147th Pl,Portland,97229,45.54364014,-122.8285828,3,4,6098,2/26/2021,812500,872000,70082
9272 NW Murlea Ln,Portland,97229,45.5211792,-122.7724991,4,4,6534,2/26/2021,712500,765000,70082
15075 NW Rossetta St,Portland,97229,45.569767,-122.8322754,3,4,2613,11/4/2020,575000,658800,70082
3774 NW Devoto Ln,Portland,97229,45.55147934,-122.7722931,3,3,9583,2/26/2021,848900,897700,70082
1278 NW 100th Ter,Portland,97229,45.52865982,-122.779335,4,4,6534,6/11/2021,865000,881100,70082
11063 NW Montreux Ln,Portland,97229,45.52072525,-122.790329,3,3,7840,9/24/2020,779000,899400,70082
13384 NW Yvonne Ln,Portland,97229,45.5474205,-122.8146744,3,4,6534,2/26/2021,720000,773000,70082
2517 NW Pinnacle Dr,Portland,97229,45.54137802,-122.766243,3,4,15681,11/23/2020,920000,1006000,70082
