,address,city,zipcode,latitude,longitude,bathrooms,bedrooms,lotsize,date_sold,price,zestimate,median_income
4706,12574 SW Autumn View St,Portland,97224,45.41051102,-122.8064041,5,6,9147,4/22/2021,945000,985100,46558.0
4707,7832 SW Hansen Ln,Tigard,97224,45.41244888,-122.75751499999998,3,5,6969,2/17/2021,690000,744600,46558.0
4708,16641 SW 133rd Ter,King City,97224,45.39957428,-122.8140259,3,3,2178,4/20/2021,485000,505900,46558.0
4709,9440 SW Lakeside Dr,Tigard,97224,45.40908051,-122.77429199999999,2,2,3920,7/27/2020,399000,470800,46558.0
4710,16510 SW Monaco Ln,King City,97224,45.40049362,-122.80593870000001,2,2,7840,4/20/2021,310000,323300,46558.0
4711,14405 SW 141st Ave,Tigard,97224,45.41569901,-122.8225784,3,5,19166,7/16/2020,559000,637147,46558.0
4712,15453 SW Summerview Dr,Tigard,97224,45.408195500000005,-122.8063736,3,4,5227,2/18/2021,599137,646200,46558.0
4713,11720 SW King George Dr,King City,97224,45.40988922,-122.7975159,2,2,3920,2/18/2021,322000,347100,46558.0
4714,14163 SW 118th Ct,Tigard,97224,45.41744995,-122.79871370000001,3,4,9147,7/27/2020,755000,885800,46558.0
4715,15284 SW Thames Ln,Tigard,97224,45.41069412,-122.83428959999999,4,4,6098,7/27/2020,839900,985200,46558.0
4716,14708 SW Peak Ct,Portland,97224,45.41757965,-122.8278885,3,4,8712,2/18/2021,610000,657500,46558.0
4717,15740 SW Oakhill Ln,Tigard,97224,45.40616989,-122.7723312,2,3,4356,7/24/2020,415000,551600,46558.0
4718,15345 SW Bull Mountain Rd,Tigard,97224,45.41643143,-122.8348236,4,6,47480,2/21/2021,681145,860100,46558.0
4719,15395 SW Bull Mountain Rd,Tigard,97224,45.41648483,-122.835495,2,3,33105,2/21/2021,500000,623400,46558.0
4720,16525 SW Queen Mary Ave,Tigard,97224,45.40100479,-122.8015213,1,2,3920,2/21/2021,360000,387400,46558.0
4721,9837 SW Kimberly Dr,Tigard,97224,45.40650558,-122.7784348,3,5,9583,7/24/2020,560000,659900,46558.0
4722,14363 SW Fanno Creek Ct,Tigard,97224,45.4161911,-122.7627258,2,3,4791,7/24/2020,407900,488700,46558.0
4723,14865 SW 98th Ave,Tigard,97224,45.41249466,-122.77810670000001,3,5,30927,7/9/2021,761000,762100,46558.0
4724,16430 SW 93rd Ave,Tigard,97224,45.40111542,-122.77347560000001,2,3,7840,7/9/2021,465000,465700,46558.0
4725,7999 SW Whitfurrows Ct,Portland,97224,45.39570236,-122.75917820000001,3,3,8712,7/24/2020,509900,600800,46558.0
4726,12520 SW Prince Phillip Ct,King City,97224,45.40563202,-122.80590819999999,2,2,4791,7/24/2020,345000,414300,46558.0
4727,17306 SW Montague Way,King City,97224,45.39461899,-122.81697849999999,3,3,3484,7/24/2020,445000,524400,46558.0
4728,17270 SW Montague Way,King City,97224,45.39494705,-122.81698610000001,3,3,3484,7/24/2020,475000,559700,46558.0
4729,12931 SW Kostel Ln,Tigard,97224,45.40924454,-122.80998229999999,4,5,6969,7/9/2021,845000,846200,46558.0
4730,8055 SW Churchill Ct,Tigard,97224,45.40683746,-122.75955959999999,3,3,4356,7/24/2020,429900,506600,46558.0
4731,15242 SW Peachtree Dr,Tigard,97224,45.40956116,-122.8160553,3,4,11761,7/9/2021,769000,770100,46558.0
4732,12087 SW Aspen Ridge Dr,Tigard,97224,45.41195297,-122.8016586,4,6,10454,7/24/2020,875000,1027500,46558.0
4733,14270 SW 150th Ave,Tigard,97224,45.41637039,-122.83029170000002,3,4,32234,7/24/2020,690000,811900,46558.0
4734,14400 SW 92nd Ave,Tigard,97224,45.41563416,-122.77047730000001,1,3,7840,7/9/2021,558490,559300,46558.0
4735,13646 SW Leah Ter,Tigard,97224,45.41611099,-122.81753540000001,3,5,5662,7/24/2020,655000,771800,46558.0
4736,14172 SW 118th Ct,Tigard,97224,45.41743851,-122.79810330000001,4,4,6098,7/24/2020,729900,857100,46558.0
4737,14139 SW 155th Ter,Portland,97224,45.41760254,-122.83616640000001,4,4,12196,2/23/2021,1246000,1339300,46558.0
4738,14323 SW Fanno Creek Ct,Tigard,97224,45.41617584,-122.7634125,2,3,4356,4/20/2021,455000,474800,46558.0
4739,11925 SW King James Pl,King City,97224,45.40184402,-122.79959869999999,1,2,5662,7/9/2021,395000,395600,46558.0
4740,14769 SW 149th Ter,Tigard,97224,45.41305542,-122.83095549999999,4,4,4791,7/12/2021,690000,691000,46558.0
4741,12200 SW King Richard Dr,King City,97224,45.3981781,-122.8025894,1,2,4356,7/9/2021,375000,375200,46558.0
4742,15425 SW Summerview Dr,Tigard,97224,45.40829849,-122.8067932,4,6,6098,2/23/2021,725000,779300,46558.0
4743,9390 SW Julia Pl,Tigard,97224,45.40233231,-122.77469640000001,2,3,5227,2/23/2021,375000,403300,46558.0
4744,16289 SW 129th Ter,Tigard,97224,45.40203857,-122.80998989999999,2,2,4791,2/23/2021,465000,499800,46558.0
4745,14587 SW Chesterfield Ln,Tigard,97224,45.40534592,-122.82632450000001,3,4,6969,4/18/2021,575000,600400,46558.0
4746,16066 SW Barrington Pl,Portland,97224,45.40359116,-122.8228149,3,4,6098,4/18/2021,655000,683900,46558.0
4747,15938 SW Enna Ct,Tigard,97224,45.41399384,-122.84114840000002,3,4,23958,7/22/2020,700000,825300,46558.0
4748,15377 SW Thames Ln,Tigard,97224,45.41111374,-122.83536529999999,3,3,14997,7/5/2020,809000,923523,46558.0
4749,8599 SW Bellflower St,Tigard,97224,45.40919876,-122.76572420000001,3,3,3920,7/22/2020,450000,530400,46558.0
4750,7838 SW Brookline Ln,Tigard,97224,45.41603851,-122.75756070000001,3,3,1306,7/22/2020,339000,399600,46558.0
4751,17169 SW Rivendell Dr,Portland,97224,45.39612579,-122.75932309999999,3,4,9147,7/22/2020,628000,740400,46558.0
4752,15177 SW 154th Ave,Tigard,97224,45.41008377,-122.83623500000002,3,4,6098,7/22/2020,830000,975000,46558.0
4753,13640 SW Wrightwood Ct,Tigard,97224,45.40663147,-122.8173828,3,3,3920,2/24/2021,505000,542500,46558.0
4754,15600 SW Alderbrook Dr,Tigard,97224,45.4071846,-122.77355959999998,2,2,4356,7/21/2020,400000,475600,46558.0
4755,12250 SW Versailles Rd,King City,97224,45.39542007,-122.80304720000001,3,3,1742,2/26/2021,375000,402500,46558.0
4756,16715 SW King Charles Ave,King City,97224,45.39894867,-122.80427549999999,1,2,3920,2/26/2021,340000,365000,46558.0
4757,9945 SW Kable St,Tigard,97224,45.40956879,-122.77913670000001,2,3,8276,7/5/2020,430000,490735,46558.0
4758,14259 SW Connor Pl,Portland,97224,45.41674423,-122.82708740000001,3,5,6969,4/9/2021,700000,735000,46558.0
4759,15378 SW Thames Ln,Tigard,97224,45.41070175,-122.83526609999998,3,4,6098,7/16/2020,752000,855598,46558.0
4760,8240 SW Norfolk Ln,Tigard,97224,45.40982819,-122.7616959,3,5,4791,2/26/2021,650000,697600,46558.0
4761,14399 SW Aynsley Way,Tigard,97224,45.40684891,-122.82561489999999,3,5,7840,2/26/2021,569900,611900,46558.0
4762,8438 SW Ashford St,Tigard,97224,45.40803146,-122.7637634,3,4,5227,4/1/2021,560000,590200,46558.0
4763,13190 SW Portia Ln,King City,97224,45.39556503,-122.8126831,3,3,3920,4/1/2021,545000,574400,46558.0
4764,14547 SW 83rd Ct,Tigard,97224,45.4147377,-122.7629318,2,3,6098,4/15/2021,490000,512500,46558.0
4765,7864 SW Alder St,Tigard,97224,45.40455246,-122.75772859999998,3,3,3049,4/15/2021,413400,432400,46558.0
4766,16100 SW 146th Ave,Tigard,97224,45.40330505,-122.82666780000001,4,5,10018,4/1/2021,649000,684400,46558.0
4767,15410 SW Seine Ct,Tigard,97224,45.40959167,-122.83632659999998,3,4,6534,4/1/2021,910000,959000,46558.0
4768,14875 SW 79th Ave,Tigard,97224,45.41248322,-122.75877379999999,3,3,40946,4/1/2021,760000,801000,46558.0
4769,12888 SW Da Vinci Ln,Tigard,97224,45.40669632,-122.80919650000001,4,4,7405,4/1/2021,650000,685100,46558.0
4770,13145 SW Bull Mountain Rd,Tigard,97224,45.41513824,-122.81164550000001,3,4,123710,4/1/2021,3750000,1453700,46558.0
4771,15840 SW Greens Way,Tigard,97224,45.40578461,-122.78337859999999,2,2,4356,4/15/2021,395000,413100,46558.0
4772,14739 SW Grandview Ln,Tigard,97224,45.41699219,-122.82858279999999,4,4,14374,3/31/2021,600000,633000,46558.0
4773,15445 SW 144th Ter,Tigard,97224,45.40814972,-122.8250504,3,3,4792,3/31/2021,525000,553900,46558.0
4774,15679 SW 82nd Ave,Tigard,97224,45.40645981,-122.76229099999999,3,3,4791,4/15/2021,555000,580400,46558.0
4775,15760 SW Highland Ct,Tigard,97224,45.40572739,-122.78878020000002,3,3,4356,4/15/2021,427990,550100,46558.0
4776,16960 SW Matador Ln,King City,97224,45.39733505,-122.80806729999999,1,2,3049,3/17/2021,328000,348600,46558.0
4777,17349 SW Montague Way,King City,97224,45.39434433,-122.8174973,3,3,2178,4/15/2021,459000,480000,46558.0
4778,12355 SW Autumn View St,Tigard,97224,45.4107666,-122.8041077,2,4,5227,3/17/2021,515000,547400,46558.0
4779,13292 SW Nicole Ln,Tigard,97224,45.41363907,-122.8137131,3,4,5227,3/1/2021,668000,716000,46558.0
4780,14707 SW 149th Ter,Tigard,97224,45.41346741,-122.83095549999999,3,4,5227,3/31/2021,560000,590800,46558.0
4781,14300 SW Tewkesbury Ct,Tigard,97224,45.40779877,-122.8242111,3,5,4791,7/12/2021,730000,731100,46558.0
4782,14724 SW 148th Ter,Tigard,97224,45.41330719,-122.82906340000001,3,5,5662,3/1/2021,685000,734200,46558.0
4783,14291 SW Connor Pl,Portland,97224,45.41646957,-122.82700349999999,3,4,4791,3/31/2021,676000,713200,46558.0
4784,11571 SW Cole Ln,Tigard,97224,45.41841888,-122.7960281,3,4,7405,7/16/2020,570000,648525,46558.0
4785,13447 SW King Lear Way,King City,97224,45.3963356,-122.81509399999999,3,4,3484,3/3/2021,505000,540700,46558.0
4786,16788 SW Romeo Ter,King City,97224,45.39834595,-122.8170166,3,3,3484,4/15/2021,474000,495700,46558.0
4787,15935 SW Colony Dr,Tigard,97224,45.4168396,-122.8404007,5,5,20908,7/16/2020,749000,852184,46558.0
4788,12408 SW Duchilly Ct,Tigard,97224,45.41624451,-122.8052979,6,6,40075,7/16/2020,925000,1040377,46558.0
4789,15585 SW Roshak Rd,Tigard,97224,45.41739655,-122.8368301,3,4,40075,3/29/2021,1220000,1287900,46558.0
4790,13255 SW Bedford St,King City,97224,45.39310837,-122.8134995,3,4,5227,3/4/2021,600000,641700,46558.0
4791,14322 SW Woodhue St,Tigard,97224,45.40711212,-122.8242493,4,5,5227,3/26/2021,720000,761600,46558.0
4792,15087 SW 107th Ter,Tigard,97224,45.41085815,-122.78741459999999,3,4,7405,3/26/2021,700000,740500,46558.0
4793,15845 SW 81st Ct,Tigard,97224,45.40537643,-122.7617493,3,4,6098,3/4/2021,525000,561800,46558.0
4794,14988 SW Lookout Dr,Tigard,97224,45.41163635,-122.80864720000001,4,5,5227,3/26/2021,812000,859000,46558.0
4795,15286 SW 107th Ter,Tigard,97224,45.40954208,-122.78680420000002,3,3,9583,3/26/2021,700000,740500,46558.0
4796,12705 SW Bull Mountain Rd,Tigard,97224,45.41397476,-122.807579,2,3,63597,3/4/2021,580000,1034800,46558.0
