abbreviatedAddress,city,zipcode,latitude,longitude,bathrooms,bedrooms,lotSize,daysOnZillow,Date_sold,price,zestimate,rentZestimate,propertyTaxRate,taxAssessedValue,taxAssessedYear
6816 NE Willowgrove St,Hillsboro,97124,45.52157974,-122.9092255,2,4,4791,6,7/15/2021,580000,580300,3139,1.13,558920,2019
1934 SE 75th Ct,Hillsboro,97123,45.50597763,-122.9045334,3,3,6098,6,7/15/2021,559000,559800,2300,1.13,394300,2019
13491 NW Alvada St,Portland,97229,45.55652237,-122.8155441,3,4,6098,7,7/15/2021,784000,785300,3494,1.13,673830,2019
1834 SE Exeter Dr,Portland,97202,45.45686722,-122.6514206,2,4,21250,7,7/15/2021,1625000,1628500,5366,1.08,927067,2020
5804 NE 22nd Ave,Portland,97211,45.5645752,-122.6431732,2,4,4791,7,7/15/2021,716000,717000,2995,1.12,549520,2020
9832 NW Thompson Rd,Portland,97229,45.54851532,-122.7775192,4,4,13939,7,7/15/2021,1050000,1050800,4889,1.12,898530,2020
1895 NW 9th Ave,Hillsboro,97124,45.5389595,-122.9980698,3,3,6098,5,7/15/2021,510000,502500,2496,1.13,399670,2019
1057 SE Bianca St,Hillsboro,97123,45.50877762,-122.9745026,3,3,2178,6,7/15/2021,485000,517200,2000,1.13,350160,2019
8315 SE 9th Ave,Portland,97202,45.46261215,-122.6572876,2,3,4791,7,7/15/2021,865000,866300,2795,1.12,574330,2020
6133 SW Orchid Dr,Portland,97219,45.46062088,-122.7412796,3,4,20908,7,7/15/2021,1150000,1150800,5110,1.12,1005110,2020
2563 NW 108th Ter,Portland,97229,45.53811264,-122.7885284,3,5,6098,7,7/15/2021,867000,868500,3611,1.13,665780,2019
7439 SW 64th Pl,Portland,97219,45.47065353,-122.7422791,3,3,5227,7,7/15/2021,705000,666100,3522,1.12,573930,2020
12838 NW Oconnor Dr,Portland,97229,45.56081009,-122.8089752,4,5,4791,7,7/15/2021,860000,838600,2500,1.13,725820,2019
6317 SW Bently Ct,Portland,97219,45.46334839,-122.741188,3,4,8712,9,7/13/2021,658000,659000,3342,1.12,490950,2020
134 Donald St,Oregon City,97045,45.33887482,-122.6086884,2,4,15681,12,7/13/2021,525000,528000,2749,1.08,408556,2020
13125 Autumn Ln,Oregon City,97045,45.32569885,-122.5973816,2,3,10454,12,7/13/2021,477239,480000,2452,1.08,379968,2020
10370 SW Greenleaf Ter,Tigard,97224,45.40658569,-122.7840958,2,2,3920,5,7/13/2021,472500,479600,1999,1.13,313420,2019
14010 SW Karley Ct,Tigard,97223,45.42588425,-122.8209686,4,4,9147,5,7/13/2021,834900,860300,3773,1.13,683610,2019
7913 N Chase Ave,Portland,97217,45.58086777,-122.7047501,1,4,4356,12,7/13/2021,512500,514600,2428,1.12,372070,2020
4273 SE Maya Ct,Hillsboro,97123,45.51965332,-122.9383698,3,3,2178,7,7/13/2021,422500,423300,2049,1.13,309560,2019
14741 S Henrici Rd,Oregon City,97045,45.30971527,-122.5637741,2,3,23958,12,7/13/2021,482000,484500,2327,1.08,326165,2020
6158 SE Lois St,Hillsboro,97123,45.51199722,-122.9189529,3,4,11761,7,7/13/2021,515000,516000,2766,1.13,380170,2019
10550 SW Century Oak Dr,Tigard,97224,45.40439987,-122.7862473,1,2,4356,5,7/13/2021,364000,364400,1619,1.13,318610,2019
445 N Hayden Bay Dr #71,Portland,97217,45.61043167,-122.6735001,1,2,336718,14,7/13/2021,214000,261800,1892,1.12,219780,2020
3850 Kenthorpe Way,West Linn,97068,45.38639069,-122.6366272,3,3,14374,12,7/13/2021,610000,613500,2650,1.08,493500,2020
3268 Dawson Ct,West Linn,97068,45.36271667,-122.6443939,3,4,5227,12,7/13/2021,577225,580500,2795,1.08,387754,2020
10221 SE 147th Ave,Happy Valley,97086,45.44881821,-122.5130539,4,6,20037,12,7/13/2021,900000,905200,3399,1.08,584329,2020
11304 SE Falco St,Happy Valley,97086,45.44092178,-122.5597382,3,3,1742,12,7/13/2021,435000,437500,2734,1.08,376802,2020
9570 SW Diamond View Way,Beaverton,97007,45.44958496,-122.8464203,4,5,5662,5,7/13/2021,635000,657100,2846,1.13,540890,2019
7255 SW Palmer Way,Beaverton,97007,45.46743774,-122.8296356,3,5,10018,5,7/13/2021,793000,793800,2495,1.13,557060,2019
16020 SW Cormorant Dr,Beaverton,97007,45.44221115,-122.841568,4,4,13068,5,7/13/2021,1105000,1087000,4259,1.13,810410,2019
6656 SW Peyton Rd,Portland,97223,45.47403717,-122.7455978,2,4,13068,5,7/13/2021,820000,858700,3733,1.13,602060,2019
17755 SW Cooper Mountain Ln,Beaverton,97007,45.43827438,-122.8599243,4,3,88862,5,7/13/2021,1190000,1130100,4739,1.13,863260,2019
4036 SE Harrison St,Milwaukie,97222,45.44641113,-122.6213608,2,3,7405,12,7/13/2021,550000,553200,2594,1.08,405449,2020
17643 NW Deerbrook Ct,Portland,97229,45.55718613,-122.8583527,3,3,11761,9,7/13/2021,716000,717400,2993,1.13,545590,2019
498 SE Brookwood Ave,Hillsboro,97123,45.51675034,-122.9332962,3,4,67082,7,7/13/2021,940000,940900,3271,1.13,598740,2019
1311 NE Cornell Rd,Hillsboro,97124,45.52738953,-122.9693375,1,4,5662,7,7/13/2021,410000,410800,1999,1.13,227400,2019
15140 S Burkstrom Rd,Oregon City,97045,45.38792038,-122.5213013,3,4,45302,12,7/13/2021,720000,724100,2666,1.08,542184,2020
20250 S Ferguson Rd,Oregon City,97045,45.31313705,-122.527359,2,4,20473,12,7/13/2021,625000,628600,2570,1.08,408334,2020
11845 SW Wilton Ave,Tigard,97223,45.43429184,-122.8189926,3,3,5662,5,7/13/2021,625000,605200,2594,1.13,428500,2019
7661 SE Michael Dr,Milwaukie,97222,45.43976212,-122.5854721,2,3,7840,12,7/13/2021,485000,487800,2694,1.08,354065,2020
12001 SW Treeview Ct,Tigard,97224,45.41799545,-122.8011932,4,4,6098,5,7/13/2021,642500,643100,2910,1.13,549990,2019
3273 SE 24th Ter,Gresham,97080,45.48011398,-122.3990936,2,3,5227,8,7/13/2021,423000,423300,2135,1.12,327840,2020
7066 N Williams Ave,Portland,97217,45.57429504,-122.6664963,1,4,4791,12,7/13/2021,490000,636000,2965,1.12,481460,2020
6821 SE 76th Ave,Portland,97206,45.47317123,-122.5857925,2,3,9583,12,7/13/2021,525000,525800,2181,1.12,430030,2020
1636 SE Knapp St,Portland,97202,45.47142029,-122.6489029,3,2,871,12,7/13/2021,490000,490700,2250,1.12,415610,2020
5605 SE 65th Ave UNIT A,Portland,97206,45.48239136,-122.5973587,1,2,5000,12,7/13/2021,478000,501600,2174,1.12,438690,2020
13580 NW Trevino St,Portland,97229,45.54934311,-122.8167267,3,5,5662,9,7/13/2021,850000,850800,3640,1.13,695880,2019
13434 SW Ascension Dr,Tigard,97223,45.42250443,-122.8221436,3,4,15245,5,7/13/2021,879000,879800,3460,1.13,617400,2019
3221 SE 75th Ave,Portland,97206,45.49895477,-122.5862198,2,2,6534,12,7/13/2021,560000,560800,2084,1.12,416360,2020
3623 SE Nehalem St,Portland,97202,45.46590424,-122.6256561,3,3,4791,9,7/13/2021,730000,731100,2348,1.12,628520,2020
5377 SE Frances Ct,Hillsboro,97123,45.5090065,-122.9267349,3,3,6969,7,7/13/2021,635000,636200,2580,1.13,437520,2019
350 SW 37th Ter,Gresham,97080,45.4707489,-122.435318,3,3,7405,8,7/13/2021,596000,596900,2849,1.12,405760,2020
1845 Palisades Terrace Dr,Lake Oswego,97034,45.41080856,-122.6799622,3,3,41382,12,7/13/2021,2990000,3007200,14673,1.08,2117723,2020
16454 SW 132nd Ter,Tigard,97224,45.40056992,-122.8124619,3,3,3920,5,7/13/2021,630000,632200,2862,1.13,500190,2019
4724 SW Vacuna St,Portland,97219,45.44159317,-122.7256927,2,3,4356,13,7/12/2021,480000,482200,2765,1.12,419680,2020
2718 SE Meadowlark Dr,Hillsboro,97123,45.49846649,-122.9546127,2,4,9147,9,7/12/2021,511000,512500,2065,1.13,370400,2019
4516 NE 9th Ave,Portland,97211,45.55575943,-122.6563263,1,2,4791,13,7/12/2021,625000,626100,2295,1.12,501130,2020
2356 SE 56th Pl,Hillsboro,97123,45.5014534,-122.9243851,2,3,6969,8,7/12/2021,450000,451100,2033,1.13,350020,2019
16360 NW Rossetta St,Portland,97229,45.56761551,-122.845993,3,3,2613,13,7/12/2021,570000,618900,2395,1.13,484490,2019
6836 NE Grand Ave,Portland,97211,45.57237244,-122.6600494,2,3,4791,13,7/12/2021,550000,551400,2327,1.12,421950,2020
7393 NE Nelly St,Hillsboro,97124,45.5179863,-122.9012375,3,3,2613,9,7/12/2021,380000,381100,1996,1.13,264700,2019
13555 NW Thompson Rd,Portland,97229,45.54660797,-122.8164444,2,3,14810,13,7/12/2021,560000,684000,2495,1.13,554720,2019
6332 SW Ash Creek Dr,Portland,97219,45.46377182,-122.7420044,2,4,7007,14,7/12/2021,600000,699600,3295,1.12,548430,2020
2498 Crestview Dr,West Linn,97068,45.35794067,-122.6497574,3,4,10018,14,7/12/2021,900000,906200,3697,1.08,827628,2020
20762 Viewpoint Rd,West Linn,97068,45.36574936,-122.6451263,3,3,2178,14,7/12/2021,450000,453100,2522,1.08,363383,2020
4407 SE 75th Ave,Portland,97206,45.4908905,-122.5860672,1,3,6098,14,7/12/2021,485000,486400,1975,1.12,342420,2020
3316 SE 55th Ave,Portland,97206,45.49856186,-122.6057053,2,3,5227,14,7/12/2021,550000,551900,2600,1.12,439290,2020
530 SE 68th Ave,Hillsboro,97123,45.51558685,-122.9099655,2,3,4791,9,7/12/2021,465000,465900,1999,1.13,337880,2019
143 NW Scott St,Hillsboro,97124,45.54253769,-122.9972687,3,4,6098,9,7/12/2021,500000,500500,2636,1.13,364570,2019
6137 SE Provence St,Hillsboro,97123,45.48962402,-122.9183197,3,4,10454,9,7/12/2021,1070000,1071000,4941,1.13,349270,2019
6926 N Atlantic Ave,Portland,97217,45.57299423,-122.6962204,1,2,4791,13,7/12/2021,575000,576000,1945,1.12,424010,2020
3352 SE Silver Fox Way,Hillsboro,97123,45.4960556,-122.9220047,3,3,3049,8,7/12/2021,484000,485200,2250,1.13,350570,2019
4114 SE Spring St,Hillsboro,97123,45.51358414,-122.9400482,2,3,6969,9,7/12/2021,500000,501000,2070,1.13,323520,2019
20015 S Henrici Rd,Oregon City,97045,45.31732941,-122.5167465,3,4,233917,14,7/12/2021,750000,753300,3240,1.08,642326,2020
5926 SE Lexington St,Portland,97206,45.46632767,-122.6026077,1,3,4791,16,7/12/2021,340000,341700,2256,1.12,317220,2020
5403 SE 62nd Ave,Portland,97206,45.48371887,-122.5998383,3,4,3049,13,7/12/2021,525000,526000,2813,1.12,464610,2020
5315 SE Lafayette St,Portland,97206,45.49703217,-122.6077652,2,3,4356,13,7/12/2021,522000,523000,2781,1.12,412130,2020
15679 S Maplelane Rd,Oregon City,97045,45.34347916,-122.5447311,2,2,33950,13,7/12/2021,439000,522700,2169,1.08,356601,2020
16975 S Outlook Rd,Oregon City,97045,45.38178635,-122.5183105,4,5,27442,13,7/12/2021,829080,834300,3429,1.08,728692,2020
18500 S Cadle Creek Ln,Oregon City,97045,45.33842468,-122.4977493,5,5,87120,14,7/12/2021,1100000,1104800,4934,1.08,1007929,2020
14499 S Stoneridge Dr,Oregon City,97045,45.29655838,-122.5690536,3,3,56192,14,7/12/2021,1425000,1434900,5614,1.08,1518140,2020
816 Jq Adams St,Oregon City,97045,45.35528946,-122.5992661,3,4,6534,14,7/12/2021,581000,583500,2699,1.08,353008,2020
3903 SE Franklin Ct,Portland,97202,45.49874496,-122.622406,3,3,2178,13,7/12/2021,520000,531900,2645,1.12,466190,2020
17706 S Redland Rd,Oregon City,97045,45.3448143,-122.5032425,1,3,38768,14,7/12/2021,260000,394000,2320,1.08,244628,2020
7821 SE Lambert St,Portland,97206,45.46729279,-122.5827789,3,5,16988,13,7/12/2021,599900,601000,2251,1.12,407970,2020
5833 SE 41st Ave,Portland,97202,45.4801178,-122.6209335,2,2,7840,13,7/12/2021,575000,576000,2194,1.12,497420,2020
206 NE Milne Rd,Hillsboro,97124,45.54849243,-122.9933243,2,3,7405,8,7/12/2021,558000,559300,2149,1.13,403910,2019
